title,beds,bath,area,adress,type,purpose,flooPlan,url,lastUpdated,price
1500 SQ Ft apartment for rent is all set for you to settle in Bashundhara close to Bangladesh Resource Improvement Trust (BRIT) HQ,3,3,"1,850 sqft","Block G, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1500159-400x300.webp,https://www.bproperty.com/en/property/details-1856452.html,"July 20, 2022",35 Thousand
"An Apartment Is Ready For Rent At Bashundhara R-A, Very Near To Viquarunnisa Noon School and College.",3,4,"1,850 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1500159-400x300.webp,https://www.bproperty.com/en/property/details-1936852.html,"November 26, 2022",35 Thousand
"Properly Constructed Flat For Rent In Uttara-10, Near First Security Islami Bank Limited",4,4,"1,750 sqft","Sector 10, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1475217-240x180.webp,https://www.bproperty.com/en/property/details-1882477.html,"January 23, 2023",36 Thousand
For rental purpose 1550 Square feet flat is available in Bashundhara R-A near to NSU,3,4,,"Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1-240x180.webp,https://www.bproperty.com/en/property/details-2016688.html,"January 14, 2023",28 Thousand
See This Apartment Of 1365 Sq. ft For Rent In Rose Valley Residential Area,3,3,"1,450 sqft","Rose Valley Residential Area, 9 No. North Pahartali Ward, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/922086-240x180.webp,https://www.bproperty.com/en/property/details-2016546.html,"January 14, 2023",20 Thousand
1365 SQ FT flat is now to rent which is in Pahartali near to Pahartali Eye Hospital,3,3,"1,500 sqft","Rose Valley Residential Area, 9 No. North Pahartali Ward, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1174166-400x300.webp,https://www.bproperty.com/en/property/details-2016586.html,"January 14, 2023",20 Thousand
A Comfortable 1500 Sq Ft Residence Is Here For Rent In Bashundhara R-A Near Bashundhara Bus Stand,3,3,,"Block G, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1160445-240x180.webp,https://www.bproperty.com/en/property/details-2084131.html,"January 12, 2022",30 Thousand
"A 1165 Sq Ft Flat Is Available For Rent In Block F, Bashundhara R-A.",3,3,"1,450 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/602572-400x300.webp,https://www.bproperty.com/en/property/details-2028439.html,"January 14, 2023",22 Thousand
"An Impressive 1500 Sq Ft Flat Is Here For Rent In Block G, Bashundhara R/A",3,3,,"Block G, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1161377-240x180.webp,https://www.bproperty.com/en/property/details-2083959.html,"January 12, 2022",35 Thousand
Properly Designed This 1500 Sq Ft Apartment Is Now Up For Rent In Bashundhara R-A,3,3,,"Block G, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1161715-240x180.webp,https://www.bproperty.com/en/property/details-2083960.html,"January 12, 2022",35 Thousand
